ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
181,mistral-small,2024-September-02 12:32:34,2024-September-02 12:32:45,11,0,11,50,563,0,0,1.119006634,0,TRUE
1,gpt-3.5-turbo,2024-September-02 10:33:32,2024-September-02 10:33:36,0.961059809,2.800863266,3.761924505,5,563,71,0,1.13726306,100.00%,FALSE
2,gpt-3.5-turbo,2024-September-02 10:33:40,2024-September-02 10:33:44,0.922795057,2.625550985,3.548346996,5,563,71,0,1.049824953,100.00%,FALSE
3,gpt-3.5-turbo,2024-September-02 10:33:48,2024-September-02 10:33:52,1.126904249,2.750335693,3.877241373,5,563,71,0,1.070351839,100.00%,FALSE
4,gpt-3.5-turbo,2024-September-02 10:33:57,2024-September-02 10:34:01,1.054161072,3.021069527,4.075231791,5,563,71,0,1.047205448,100.00%,FALSE
5,gpt-3.5-turbo,2024-September-02 10:34:06,2024-September-02 10:34:30,21.21908832,3.034507275,24.25359654,5,563,71,0,1.310415268,100.00%,FALSE
6,gpt-3.5-turbo,2024-September-02 10:34:35,2024-September-02 10:34:39,1.001544952,2.817958832,3.819504499,5,563,71,0,1.075011253,100.00%,FALSE
7,gpt-3.5-turbo,2024-September-02 10:34:43,2024-September-02 10:35:07,21.1581223,2.93518877,24.0933125,5,563,71,0,1.236517668,100.00%,FALSE
8,gpt-3.5-turbo,2024-September-02 10:35:12,2024-September-02 10:35:16,1.033365488,2.868129969,3.901496887,5,563,71,0,1.184605837,100.00%,FALSE
9,gpt-3.5-turbo,2024-September-02 10:35:21,2024-September-02 10:35:45,21.08221269,3.004866362,24.08708024,5,563,71,0,1.135484219,100.00%,FALSE
10,gpt-3.5-turbo,2024-September-02 10:35:50,2024-September-02 10:36:15,21.13630939,3.004284382,24.14059496,5,563,71,0,1.45107913,100.00%,FALSE
11,gpt-4,2024-September-02 10:39:38,2024-September-02 10:39:44,2.660452843,3.063637733,5.724091768,5,563,71,0,1.085932016,100.00%,FALSE
12,gpt-4,2024-September-02 10:39:49,2024-September-02 10:39:55,3.095324516,2.940975904,6.036301613,5,563,76,0,1.192307234,100.00%,FALSE
